date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:33	76910/76910	U--M-Z	200	updated ('OK')	text/html	etag:%2212c6e-5b540ae3a6f1d-gzip%22	https://diri.isb.edu/en.html	/home/rishabh_/websites/ISB/diri.isb.edu/en.html	(from )
21:28:33	42122/42122	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Dec%202020%2015:58:32%20GMT	https://diri.isb.edu/robots.txt		(from )
21:28:33	12216/12216	U-----	200	untouched ('')	image/png	etag:%222fb8-5b31cb0401840%22	https://diri.isb.edu/content/dam/sites/diri/DIRI.png	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/diri/DIRI.png	(from https://diri.isb.edu/en.html)
21:28:33	785991/785991	U-----	200	untouched ('OK')	text/css	etag:%22bfe47-5b2e3dbc51580%22	https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css	/home/rishabh_/websites/ISB/diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css	(from https://diri.isb.edu/en.html)
21:28:33	296/296	---M--	302	error ('Found')	text/html	date:Tue,%2001%20Dec%202020%2015:58:33%20GMT	https://diri.isb.edu/content/sites/diri/en/search.html	/home/rishabh_/websites/ISB/diri.isb.edu/content/sites/diri/en/search.b.delayed	(from https://diri.isb.edu/en.html)
21:28:33	313/313	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Dec%202020%2015:58:33%20GMT	https://diri.isb.edu/	/home/rishabh_/websites/ISB/diri.isb.edu/index.html	(from https://diri.isb.edu/en.html)
21:28:35	39423/39423	U--M-Z	200	updated ('OK')	text/html	etag:%2299ff-5b569226c176e-gzip%22	https://diri.isb.edu/en/contact-us.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/contact-us.html	(from https://diri.isb.edu/en.html)
21:28:35	251/251	U-----	200	untouched ('OK')	image/svg+xml	etag:%22fb-5a951838c2c00%22	https://diri.isb.edu/content/dam/sites/isb/icons/menu1.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/menu1.svg	(from https://diri.isb.edu/en.html)
21:28:35	909/909	U-----	200	untouched ('OK')	image/svg+xml	etag:%2238d-5a95184528940%22	https://diri.isb.edu/content/dam/sites/isb/icons/search.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/search.svg	(from https://diri.isb.edu/en.html)
21:28:35	876/876	U-----	200	untouched ('OK')	image/svg+xml	etag:%2236c-5a9518424c280%22	https://diri.isb.edu/content/dam/sites/isb/icons/close.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/close.svg	(from https://diri.isb.edu/en.html)
